SATISFACCION DE CLIENTES INDIVIDUALES - ANDES,,,,,,,,,
"Evaluacion directa de usuarios finales: docentes, cuidadores y personas beneficiarias",,,,,,,,,
ID Evaluacion,Nombre del Cliente,Tipo de Cliente,Recurso Adquirido,Fecha,Facilidad de Uso (1-5),Impacto Percibido (1-5),Recomendaria (1-5),Promedio,Comentario
CL-001,Patricia Suarez,Docente,Abecedario Braille Modular,2026-04-14,5,5,5,"5,0",Mis estudiantes con discapacidad visual aprenden mucho mas rapido. Es un recurso transformador.
CL-002,Ricardo Montoya,Cuidador,Agarre Lapiz Adaptado,2026-04-22,5,5,5,"5,0",Mi hijo pudo escribir solo por primera vez. No tengo palabras para describir ese momento.
CL-003,Luisa Fernanda Rios,Docente,Fracciones Montessori,2026-05-05,4,5,5,"4,7",Los ninos entienden las fracciones mucho mejor con el material fisico que con el tablero.
CL-004,Andres Carmona,Beneficiario,Accesorio Abrepuertas de Muneca,2026-05-08,5,5,5,"5,0",Recupere parte de mi independencia. Ahora abro puertas solo. Sencillo pero muy efectivo.
CL-005,Gloria Ines Pardo,Docente,Figura Sistema Solar Escala,2026-05-10,4,4,5,"4,3",Los estudiantes se fascinaron con las proporciones reales. Mucho mejor que las imagenes digitales.
CL-006,Jorge Eliecer Vega,Cuidador,Accesorio Soporte Tablet Cama,2026-05-12,5,5,4,"4,7",Mi madre usa la tablet para videollamadas familiares sin ayuda. El soporte es muy estable.
CL-007,Natalia Ospina,Docente,Figura Celula Animal Desmontable,2026-05-14,4,5,5,"4,7",Cada organulo es extraible y los estudiantes pueden armar la celula como rompecabezas.
CL-008,Camilo Bermudez,Beneficiario,Accesorio Sujetador de Paginas,2026-05-15,5,5,5,"5,0",Ahora leo libros completos sin pedir ayuda. La calidad del material es excelente.
CL-009,Sandra Milena Cruz,Docente,Figura Volcan en Corte,2026-05-16,4,4,4,"4,0","Buena calidad, aunque sugeriria pintar las capas con colores diferenciados desde fabrica."
CL-010,Humberto Florez,Cuidador,Accesorio Silla de Ruedas Portavasos,2026-05-17,5,5,5,"5,0","Mi esposa ya no tiene que pedirme que le sostenga el vaso. Un pequeno accesorio, gran diferencia."
CL-011,Margarita Leal,Docente,Figura Esqueleto Humano Articulado,2026-05-17,5,5,5,"5,0",El esqueleto articulado permite explicar movimiento y anatomia de forma intuitiva. Excelente acabado.
CL-012,Dario Escobar,Beneficiario,Teclado Braille Portatil,2026-05-18,4,5,5,"4,7",Practico mi lectoescritura braille todos los dias. El dispositivo es solido y comodo.
CL-013,Teresa Gutierrez,Docente,Mapa de Colombia Relieve,2026-05-18,5,5,5,"5,0",Los estudiantes identifican los departamentos mucho mas facilmente con el mapa tactil.
CL-014,Ivan Dario Perez,Cuidador,Tablero Comunicacion AAC,2026-05-19,5,5,5,"5,0",Mi hijo con TEA logro comunicarse con nosotros usando el tablero. Fue un dia muy especial.
CL-015,Claudia Morales,Docente,Figura Piramide de Giza Seccionada,2026-05-19,4,5,5,"4,7",La seccion interior genera mucho debate en clase. Los estudiantes quieren saber mas sobre Egipto.
,PROMEDIO GENERAL,,,,"4,6","4,9","4,9","4,8",
,,,,,,,,,
RESUMEN POR TIPO DE CLIENTE,,,,,,,,,
Tipo,Evaluaciones,Prom. General,,,,,,,
Docente,8,"4,7",,,,,,,
Cuidador,4,"4,9",,,,,,,
Beneficiario,3,"4,9",,,,,,,
,,,,,,,,,
Escala de evaluacion:,,,,,,,,,
5 = Excelente,,,,,,,,,
4 = Bueno,,,,,,,,,
3 = Regular,,,,,,,,,
2 = Deficiente,,,,,,,,,
